城市,年,年均温,年降水
兰州,1960,9.95,450.6
兰州,1961,9.48,578.7
兰州,1962,9.18,446.1
兰州,1963,9.96,586.2
兰州,1964,9.54,806.4
兰州,1965,9.88,469.7
兰州,1966,8.99,564.6
兰州,1967,8.3,646.1
兰州,1968,8.93,463.9
兰州,1969,9.06,359.2
兰州,1970,8.58,525.4
兰州,1971,9.33,468.2
兰州,1972,9.52,332.2
兰州,1973,10.09,536.0
兰州,1974,8.97,501.2
兰州,1975,9.49,458.9
兰州,1976,8.67,519.7
兰州,1977,9.04,451.9
兰州,1978,9.63,590.6
兰州,1979,9.53,586.8
兰州,1980,9.82,331.2
兰州,1981,9.66,369.2
兰州,1982,10.31,285.2
兰州,1983,9.44,463.5
兰州,1984,8.61,514.0
兰州,1985,9.28,566.1
兰州,1986,9.55,435.0
兰州,1987,10.5,379.2
兰州,1988,9.68,541.7
兰州,1989,9.7,437.7
兰州,1990,10.45,443.8
兰州,1991,10.71,340.6
兰州,1992,9.73,528.6
兰州,1993,9.35,469.9
兰州,1994,10.23,535.5
兰州,1995,9.82,505.8
兰州,1996,9.41,510.3
兰州,1997,10.7,423.8
兰州,1998,11.19,516.6
兰州,1999,10.66,536.3
兰州,2000,10.46,459.4
兰州,2001,10.69,425.2
兰州,2002,10.88,436.6
兰州,2003,10.54,516.9
兰州,2004,10.75,392.5
兰州,2005,10.49,505.1
兰州,2006,11.56,407.7
兰州,2007,10.88,604.3
兰州,2008,10.12,385.9
兰州,2009,10.99,386.9
兰州,2010,10.54,395.8
兰州,2011,10.18,382.3
兰州,2012,9.94,405.9
兰州,2013,11.38,508.2
兰州,2014,10.58,507.5
兰州,2015,11.23,367.2
兰州,2016,11.21,358.2
兰州,2017,10.83,360.3
兰州,2018,10.58,437.4
兰州,2019,10.65,377.3
兰州,2020,10.69,384.5
兰州,2021,11.25,292.2
兰州,2022,11.65,268.0
兰州,2023,11.25,318.6
兰州,2024,11.6,316.9
兰州,2025,10.66,462.6
西宁,1960,5.98,663.5
西宁,1961,4.48,947.9
西宁,1962,4.93,635.8
西宁,1963,5.26,892.4
西宁,1964,5.42,988.2
西宁,1965,5.5,807.1
西宁,1966,5.23,867.7
西宁,1967,4.18,944.5
西宁,1968,5.08,801.2
西宁,1969,5.3,717.2
西宁,1970,4.66,686.8
西宁,1971,5.59,789.9
西宁,1972,5.1,578.3
西宁,1973,5.43,946.9
西宁,1974,4.51,750.8
西宁,1975,5.06,748.4
西宁,1976,4.8,851.6
西宁,1977,4.13,828.4
西宁,1978,5.12,905.5
西宁,1979,5.77,733.5
西宁,1980,6.04,684.1
西宁,1981,5.73,731.4
西宁,1982,4.84,622.7
西宁,1983,4.97,782.1
