年,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1960,-5.5,1.61,6.35,10.0,16.13,22.32,22.33,21.75,18.17,9.15,1.76,-4.65
1961,-6.97,-3.29,4.02,12.31,16.95,21.38,24.03,21.62,15.55,9.67,1.81,-3.38
1962,-4.85,-0.47,3.95,10.19,17.58,21.64,21.77,22.03,16.27,10.61,-2.44,-6.08
1963,-5.67,-1.16,6.22,10.24,17.0,20.27,21.58,22.02,17.41,10.99,3.31,-2.67
1964,-4.27,-5.34,6.29,14.51,17.07,19.38,20.01,20.62,15.24,10.61,3.31,-3.0
1965,-1.92,-1.12,4.27,10.99,16.8,20.41,22.2,21.39,17.0,10.98,2.81,-5.25
1966,-2.98,0.71,5.98,10.88,16.04,21.61,21.52,20.45,14.2,9.36,-3.15,-6.72
1967,-6.76,-2.61,3.75,9.24,16.47,19.37,22.1,20.68,14.96,9.26,-0.87,-5.93
1968,-6.16,-5.73,4.7,10.01,16.85,21.37,21.13,18.94,16.39,8.97,2.43,-1.79
1969,-5.97,-4.18,4.11,10.48,18.43,20.05,22.27,20.33,15.97,11.55,0.16,-4.45
1970,-5.64,-1.59,1.07,7.37,16.56,18.8,23.37,20.17,14.93,8.79,2.08,-2.91
1971,-4.8,-1.46,4.28,11.48,15.51,19.91,23.26,21.5,14.57,9.61,2.03,-3.93
1972,-3.18,-5.83,4.62,10.33,16.96,20.61,22.05,22.56,16.34,10.46,2.35,-3.09
1973,-3.98,0.14,5.63,12.91,15.86,20.06,22.18,21.73,16.25,8.81,3.36,-1.92
1974,-4.55,-4.32,1.74,12.55,16.98,20.53,22.72,20.92,15.47,8.83,2.94,-6.18
1975,-4.75,-0.56,5.47,10.59,15.22,20.73,22.07,22.88,17.22,10.81,1.52,-7.34
1976,-4.57,-0.27,2.34,9.91,16.39,19.93,21.02,18.21,15.38,10.26,-0.03,-4.53
1977,-7.23,-5.01,4.33,10.61,15.25,20.29,22.17,21.34,16.98,10.84,0.92,-1.97
