年,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1960,5.3,2.1,14.2,63.3,42.8,37.8,116.9,50.7,76.7,21.1,15.8,3.9
1961,6.7,17.6,30.5,26.8,23.2,83.8,43.2,142.4,115.9,70.3,15.8,2.5
1962,1.5,7.8,7.4,14.6,22.5,22.8,120.4,65.4,86.2,62.0,34.9,0.6
1963,0.8,7.6,9.3,30.3,76.4,67.3,116.8,139.4,55.6,29.4,47.3,6.0
1964,9.0,9.9,15.4,51.6,62.1,97.8,225.1,136.2,130.0,61.8,6.0,1.5
1965,1.6,10.1,17.4,60.5,37.8,63.2,95.0,48.4,43.3,73.8,11.7,6.9
1966,0.8,4.6,11.7,23.2,64.1,15.6,111.6,111.8,151.0,44.6,23.5,2.1
1967,3.7,5.5,23.0,41.2,85.9,72.9,82.3,172.1,95.1,38.9,21.6,3.9
1968,10.6,7.3,19.7,10.3,19.7,43.7,123.9,127.4,35.3,50.5,12.1,3.4
1969,3.6,5.9,13.6,20.3,33.2,31.2,69.5,95.5,55.2,16.1,11.4,3.7
1970,6.7,15.5,16.8,64.7,21.5,46.9,110.1,152.3,63.1,24.0,1.2,2.6
1971,3.4,2.2,23.8,21.3,55.9,48.3,100.0,86.0,85.6,18.1,22.3,1.3
1972,1.5,11.7,23.2,24.9,81.1,40.2,39.2,72.5,24.0,5.1,6.0,2.8
1973,7.4,6.9,16.6,27.5,64.2,58.0,91.7,134.4,72.4,47.6,7.9,1.4
1974,4.4,9.6,27.1,19.9,43.2,28.3,126.4,71.4,81.5,63.8,16.4,9.2
1975,3.7,5.5,22.3,35.9,60.7,21.0,88.9,59.4,64.5,70.1,17.5,9.4
1976,0.8,14.1,16.6,20.7,51.7,53.1,95.1,181.9,61.9,18.0,4.1,1.7
1977,14.0,8.7,8.2,27.0,36.2,50.4,104.8,70.6,42.6,50.8,33.7,4.9
1978,6.6,12.5,34.4,9.8,41.4,58.2,138.6,133.2,73.6,62.8,17.0,2.5
1979,4.9,7.6,11.7,11.6,21.3,61.9,215.6,149.9,69.0,26.9,6.2,0.2
1980,3.6,8.5,17.7,21.6,31.3,63.9,65.3,42.8,49.2,25.7,1.4,0.2
1981,4.7,1.9,16.7,31.1,9.9,46.7,96.1,65.1,66.5,12.6,12.9,5.0
1982,1.6,3.6,13.6,16.3,24.2,18.0,13.7,33.9,110.3,36.3,12.8,0.9
1983,5.9,1.3,19.9,65.2,53.2,36.6,37.4,101.1,86.6,48.7,5.7,1.9
1984,2.5,12.3,23.3,33.6,44.4,77.3,79.6,129.9,80.7,24.6,0.7,5.1
1985,1.5,0.1,5.8,32.3,75.7,64.6,100.5,111.4,107.0,60.8,5.0,1.4
1986,0.2,6.1,19.7,16.5,41.7,133.3,50.6,96.4,28.6,26.6,8.3,7.0
1987,0.5,5.3,13.1,19.7,57.0,66.9,52.1,77.4,45.0,30.2,9.9,2.1
1988,2.9,13.5,28.4,27.3,86.4,51.0,83.1,129.8,75.1,40.2,2.2,1.8
1989,5.8,15.0,15.7,35.0,33.7,49.4,69.8,69.1,59.9,56.5,21.0,6.8
1990,7.2,5.6,21.7,55.4,49.4,26.0,67.7,103.9,48.4,50.1,8.1,0.3
1991,8.3,10.3,20.7,34.7,56.5,66.7,44.6,38.8,29.1,23.9,3.4,3.6
1992,0.1,3.4,27.4,10.4,38.0,60.7,119.5,128.5,83.2,42.7,9.8,4.9
1993,10.9,8.6,22.1,19.0,53.7,39.8,119.2,88.4,62.2,36.0,8.4,1.6
1994,5.4,5.6,18.4,36.7,9.3,121.5,109.4,107.8,43.7,64.1,7.7,5.9
1995,4.9,4.1,17.9,10.4,18.0,45.0,166.4,128.6,65.8,40.7,2.5,1.5
1996,9.3,11.1,31.3,32.3,27.2,78.2,111.6,93.9,52.5,45.8,14.6,2.5
1997,3.4,2.6,21.1,33.6,37.4,32.0,136.2,100.0,35.5,8.7,13.3,0.0
1998,5.7,4.3,11.3,31.5,54.7,34.6,111.3,149.9,62.0,49.5,1.5,0.3
1999,6.2,1.3,3.2,33.3,57.7,89.4,176.4,60.8,53.4,46.0,7.7,0.9
2000,4.6,11.6,9.8,6.9,22.0,106.5,14.6,122.1,91.0,62.7,6.0,1.6
2001,7.6,10.9,1.7,52.0,7.6,48.4,64.4,76.6,108.5,41.0,4.4,2.1
2002,5.9,6.8,17.4,26.1,106.5,85.3,39.2,58.3,56.6,26.0,6.4,2.1
2003,6.2,3.0,22.8,30.2,69.2,59.6,54.7,114.0,80.6,62.4,12.8,1.4
2004,3.2,6.1,13.1,6.2,69.5,38.9,71.5,88.1,71.6,17.3,3.8,3.2
2005,3.2,10.1,16.6,10.6,64.2,27.3,137.3,69.9,86.7,70.4,7.6,1.2
2006,7.6,18.2,6.6,14.3,49.2,46.1,78.5,98.6,47.9,24.2,8.6,7.9
2007,1.0,0.9,21.7,33.3,33.7,120.4,72.1,90.6,117.5,104.9,5.4,2.8
2008,8.4,1.1,11.8,19.0,21.5,30.5,38.2,113.0,94.9,39.5,7.8,0.2
2009,3.4,11.6,15.6,18.9,21.5,29.1,54.6,136.2,46.2,21.2,25.8,2.8
2010,0.1,4.8,15.9,34.8,73.2,44.5,50.1,66.6,67.9,33.9,2.2,1.8
2011,6.4,5.0,7.2,4.7,22.0,45.3,64.1,74.7,88.5,37.6,24.1,2.7
2012,7.2,7.0,9.7,16.2,36.7,35.6,114.7,77.0,68.5,23.4,8.9,1.0
2013,3.1,10.7,8.0,12.6,44.2,70.1,147.4,104.4,78.9,20.1,8.3,0.4
2014,1.1,9.7,10.4,79.3,24.3,79.1,53.5,84.4,112.3,45.9,6.3,1.2
2015,5.9,5.1,17.8,32.5,35.3,38.0,47.5,49.0,92.3,21.0,14.7,8.1
2016,0.9,5.7,18.8,20.2,47.5,22.2,88.9,46.7,47.1,57.6,0.9,1.7
2017,1.4,8.5,17.0,13.3,19.8,36.7,42.8,126.0,46.8,46.3,0.8,0.9
2018,5.0,3.2,4.3,39.9,45.8,15.6,99.1,124.9,75.3,8.9,11.9,3.5
2019,3.2,7.4,2.3,23.5,58.4,72.4,56.2,66.1,32.0,44.0,11.7,0.1
2020,5.1,0.7,12.5,4.5,40.8,58.2,83.4,104.1,45.0,17.4,9.2,3.6
2021,3.2,3.9,10.6,52.5,29.7,27.0,20.4,32.5,60.0,47.6,4.6,0.2
2022,1.0,9.3,1.8,12.6,13.3,25.6,75.7,67.2,28.1,30.8,1.5,1.1
2023,1.3,16.8,2.4,15.0,30.8,15.6,52.1,25.3,68.6,84.4,4.7,1.6
2024,1.5,11.8,15.2,28.8,33.7,40.6,9.7,34.3,96.9,29.9,8.6,5.9
2025,8.5,3.6,7.7,7.6,46.6,49.4,75.9,108.3,71.9,74.0,7.8,1.3
