年,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
2015,-5.35,-2.15,4.15,9.65,13.05,16.50,17.05,16.75,13.50,8.55,3.15,-4.30
2016,-6.95,-3.75,4.00,9.90,12.70,16.85,19.45,21.05,13.45,8.40,1.70,-2.45
2017,-5.00,-0.90,-0.70,7.80,12.35,15.95,20.70,17.55,13.80,8.45,1.05,-4.45
2018,-6.25,-4.40,6.00,9.50,13.95,17.75,18.90,19.00,13.55,7.20,0.00,-5.40
2019,-6.20,-2.00,3.45,11.10,12.25,15.65,17.30,17.65,13.35,7.65,2.10,-5.40
2020,-4.40,-1.45,3.90,7.45,12.45,15.80,17.85,17.25,13.70,7.35,1.70,-6.05
2021,-6.40,0.60,5.70,7.85,12.85,16.75,19.90,17.30,14.40,7.35,-0.30,-4.25
2022,-4.25,-4.90,7.25,9.25,13.45,17.70,19.00,19.30,12.95,8.00,2.85,-5.70
2023,-5.60,-1.20,4.55,8.30,12.10,15.90,19.25,18.45,14.55,8.40,3.15,-2.45
2024,-4.10,-2.15,4.20,9.95,15.15,16.35,18.60,19.15,15.50,8.87,2.45,-5.40
2025,-4.35,-2.90,2.15,9.50,14.30,16.35,20.35,17.15,14.05,7.34,0.49,-3.17
