年,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
2015,7.6,11.3,10.7,49.4,77.5,104.0,166.5,79.1,114.8,43.1,9.5,4.7
2016,3.1,6.0,31.8,58.5,65.6,76.7,135.4,101.7,98.6,71.0,5.4,2.2
2017,0.3,4.9,16.8,42.1,60.3,69.0,42.6,150.0,53.0,47.0,1.1,1.9
2018,9.0,3.7,6.6,41.0,46.0,34.2,201.1,172.6,71.1,27.8,16.5,4.6
2019,8.3,6.4,5.4,35.2,67.2,124.3,83.9,72.0,65.4,39.8,4.7,1.1
2020,4.6,2.0,7.5,16.7,63.0,78.5,110.0,123.7,73.5,11.1,6.9,1.3
2021,3.5,3.1,12.5,49.6,44.2,70.6,51.0,51.6,87.7,45.8,4.8,0.1
2022,1.0,5.4,1.2,26.4,41.3,51.4,78.0,128.9,73.2,38.5,9.1,0.5
2023,0.4,12.6,16.5,22.9,64.9,42.2,47.8,98.8,87.1,70.1,3.1,2.5
2024,0.4,6.4,15.2,52.7,40.6,74.5,70.9,111.5,129.9,31.1,10.9,2.7
2025,7.0,1.8,5.1,19.7,19.4,72.4,117.7,152.2,69.8,69.6,9.1,4.0
