年,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1960,1.03,5.76,10.0,13.34,18.48,26.77,27.18,23.22,20.05,12.94,6.55,0.89
1961,-0.29,3.82,8.37,16.14,19.74,23.77,25.78,25.14,20.22,12.72,8.32,1.88
1962,-1.33,3.93,8.86,13.83,20.79,26.22,25.9,23.62,19.33,13.63,5.47,1.98
1963,-0.96,2.34,8.63,12.19,18.02,23.86,25.2,25.02,18.96,14.16,8.08,1.44
1964,0.44,-1.56,8.46,14.89,17.83,22.69,24.57,25.21,18.42,14.45,7.9,1.23
1965,2.22,3.12,7.01,13.28,19.15,22.91,24.34,23.34,19.68,14.71,8.61,0.71
1966,1.81,5.69,9.06,14.21,18.79,25.02,25.58,25.22,18.25,13.74,6.95,0.68
1967,-1.15,1.4,8.22,12.85,19.56,24.08,25.11,27.5,18.82,14.38,4.55,-1.91
1968,-1.14,-0.74,9.5,13.95,18.76,25.69,26.56,23.93,18.75,13.19,8.4,3.77
1969,-1.63,-1.89,8.54,13.73,21.17,24.49,26.14,26.65,19.12,15.54,5.18,0.45
1970,0.04,4.16,5.84,12.93,19.75,22.16,26.88,25.65,19.12,13.33,6.79,1.96
1971,-0.58,2.44,8.55,13.53,20.01,22.06,27.85,25.7,19.75,14.28,7.41,1.36
1972,0.97,-1.4,8.76,14.38,20.11,25.42,24.38,25.78,19.17,14.55,8.38,1.86
1973,0.14,4.81,9.95,15.65,18.78,24.44,26.37,26.69,19.55,12.81,8.54,2.16
1974,-0.15,0.46,6.46,15.72,19.46,23.14,27.01,24.59,18.77,12.48,8.25,-0.66
1975,0.55,3.52,8.94,13.68,17.8,23.86,25.46,26.53,19.17,13.98,6.61,-3.05
1976,0.12,3.94,6.42,12.85,18.84,23.18,25.76,22.72,19.36,14.39,4.0,0.39
1977,-2.57,1.19,9.69,14.83,18.29,24.38,25.65,25.64,21.42,16.28,7.31,3.44
1978,0.02,0.56,7.98,15.95,20.75,24.55,25.13,26.88,19.91,14.06,7.87,2.89
1979,1.06,5.49,8.27,14.5,17.72,24.46,24.93,25.32,19.02,15.21,5.07,4.06
1980,0.26,1.33,6.31,13.87,18.92,23.12,24.03,23.85,18.98,14.36,9.52,1.96
1981,-0.97,2.99,10.33,14.77,20.5,25.61,25.75,24.36,18.62,11.24,5.76,0.29
1982,1.44,3.35,8.01,13.74,20.55,25.0,25.29,23.0,18.38,15.56,6.85,1.07
1983,-0.38,2.45,7.67,14.31,19.17,22.23,24.04,23.2,19.46,13.57,8.36,2.05
1984,-1.16,0.91,8.62,15.19,19.56,22.53,23.37,24.7,17.92,12.99,7.77,-0.72
1985,0.28,2.98,6.2,15.15,19.38,23.1,26.05,26.05,17.75,13.34,6.61,0.9
1986,1.38,2.34,8.05,14.38,20.44,23.36,25.05,24.63,19.78,13.07,6.1,2.52
1987,2.45,4.96,7.07,14.76,18.75,21.67,25.44,24.57,21.3,15.62,7.23,2.22
1988,0.97,1.72,4.92,13.77,20.1,24.96,24.72,23.67,20.0,13.79,8.26,2.78
1989,-0.6,1.88,7.11,14.06,19.01,23.1,25.13,23.48,20.04,15.13,6.68,3.57
1990,0.72,2.09,8.59,12.93,18.77,23.4,26.17,24.96,21.13,14.93,9.63,1.79
1991,1.72,4.34,8.51,14.32,18.35,23.6,27.93,24.59,20.55,14.25,7.35,2.04
1992,0.81,3.9,7.42,16.09,19.96,22.58,25.6,24.77,18.29,12.06,6.98,1.96
1993,-0.68,4.69,7.97,14.18,17.16,22.93,24.46,23.03,19.97,13.46,6.21,0.94
1994,0.75,2.92,7.0,14.46,21.87,23.62,25.93,27.2,19.43,12.9,9.21,3.15
1995,0.38,3.61,8.58,14.25,20.68,26.23,27.81,25.26,21.17,14.59,7.91,1.88
1996,0.32,2.38,7.17,13.33,19.45,23.11,25.94,25.13,19.96,14.59,6.67,2.92
1997,0.82,3.74,9.67,13.99,21.62,26.09,26.71,28.06,20.35,14.67,7.54,1.7
1998,0.16,5.32,8.01,17.7,18.42,24.36,25.71,24.08,21.43,15.55,10.41,4.45
1999,2.16,5.83,9.36,15.73,19.38,23.72,25.23,26.14,22.34,14.24,8.16,2.41
2000,0.05,3.27,10.72,15.78,22.36,24.19,26.92,23.99,19.83,13.53,5.96,3.52
2001,1.07,4.54,10.14,14.35,21.1,25.26,28.02,25.02,19.51,15.04,8.25,0.61
2002,3.28,6.26,11.01,15.12,18.54,26.14,28.57,25.15,20.61,15.46,8.36,1.38
2003,1.17,5.16,8.64,14.51,20.55,26.04,25.77,23.56,20.34,13.08,6.48,1.67
2004,0.62,5.11,9.85,17.7,20.67,24.73,26.66,24.61,19.73,13.48,7.56,2.65
2005,0.05,2.26,8.94,18.08,21.67,26.16,26.45,23.5,21.42,13.53,9.22,0.48
2006,0.24,3.89,9.59,16.27,20.88,26.03,28.53,27.47,19.13,16.47,9.25,2.61
2007,1.12,7.01,9.24,15.72,22.99,24.64,24.26,25.28,18.88,13.68,8.83,2.83
