年,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1960,12.9,7.8,60.2,56.5,63.3,40.6,107.9,162.7,108.4,91.0,40.6,9.3
1961,11.3,15.1,82.4,76.7,65.5,276.3,315.8,191.0,82.4,200.4,65.2,11.8
1962,21.4,25.2,1.8,38.2,31.3,9.6,302.2,283.5,106.2,74.0,97.4,10.2
1963,0.0,3.0,23.0,116.9,195.0,80.9,280.5,281.5,228.6,64.5,75.0,19.5
1964,26.5,22.1,63.4,94.2,161.8,79.5,205.1,165.7,274.0,168.1,44.9,19.0
1965,12.3,19.4,30.8,119.6,107.6,172.5,401.3,196.9,118.3,87.3,13.4,11.1
1966,9.2,24.5,68.7,70.5,93.5,75.0,254.8,158.2,140.3,92.8,44.4,4.6
1967,12.6,18.4,59.1,74.1,116.0,113.3,149.7,68.4,198.8,37.5,80.6,2.4
1968,26.1,6.5,29.2,64.9,96.9,41.8,107.5,241.1,356.5,139.5,53.1,16.8
1969,27.2,22.2,29.1,166.2,23.5,26.5,156.6,32.6,241.0,40.9,40.7,0.4
1970,4.2,16.9,45.6,91.7,180.8,55.3,186.1,115.3,132.1,64.6,20.0,5.5
1971,15.1,11.3,17.3,90.4,63.2,124.7,138.1,150.5,66.8,75.8,86.4,5.2
1972,18.3,29.4,43.3,37.1,57.2,118.4,230.3,121.2,87.7,52.0,50.7,8.2
1973,24.5,19.0,25.9,108.6,86.2,40.1,134.6,78.8,150.1,122.0,5.2,0.0
1974,18.2,21.0,68.6,75.3,144.8,169.8,64.7,89.8,250.8,106.9,62.0,39.0
1975,10.4,12.4,23.1,98.1,56.3,100.3,232.7,70.5,322.1,113.8,35.6,39.5
1976,1.5,45.9,21.7,109.1,44.4,43.0,71.8,291.0,67.7,83.9,38.6,19.5
1977,21.3,1.8,27.2,162.2,86.7,21.1,202.8,30.5,49.9,59.8,41.3,23.9
1978,4.9,24.7,56.5,28.0,96.7,32.2,232.9,36.1,96.5,76.2,34.1,2.7
1979,23.3,21.9,41.7,54.5,54.0,103.1,256.3,97.1,108.2,35.3,24.8,5.1
1980,11.6,4.7,45.7,54.0,131.6,90.3,160.3,172.0,108.2,103.5,38.6,7.4
1981,16.2,22.5,24.6,52.3,28.4,59.1,263.1,387.9,212.3,65.5,55.5,13.5
1982,4.5,19.5,50.5,59.5,21.6,26.5,281.7,203.7,129.5,92.3,42.3,7.7
1983,10.5,7.0,32.8,74.6,117.9,158.3,204.7,194.0,208.7,207.0,34.7,4.2
1984,7.8,4.9,10.8,48.4,122.0,168.5,301.0,70.8,295.7,66.1,43.9,32.5
1985,18.9,12.8,24.2,52.6,164.6,58.7,85.9,74.2,161.7,125.2,18.9,8.5
1986,10.8,4.7,32.9,36.9,76.4,105.8,166.6,102.9,119.0,69.8,27.6,14.3
1987,4.1,21.1,54.5,69.1,152.0,128.4,79.5,252.7,60.2,111.5,84.5,0.1
1988,13.9,26.2,64.4,52.9,117.1,22.9,236.0,209.1,76.7,113.0,7.7,17.2
1989,48.1,29.1,36.0,83.0,59.9,110.4,231.3,241.4,123.2,28.8,50.3,38.0
1990,20.8,44.5,52.3,87.0,76.2,160.7,137.8,142.8,103.8,90.7,69.6,3.0
1991,15.3,14.9,65.8,46.7,78.8,114.9,81.3,166.2,90.8,32.1,32.7,29.6
1992,0.2,1.7,64.4,50.0,85.1,97.0,158.0,261.8,189.6,92.3,22.9,16.4
1993,17.8,28.3,36.4,82.4,86.5,151.1,160.1,158.0,88.3,85.2,84.9,4.0
1994,11.0,17.8,51.6,83.3,6.7,166.0,197.7,50.1,64.2,125.8,114.8,34.5
1995,4.6,5.6,35.6,31.6,68.5,24.2,180.2,112.1,45.4,92.8,19.0,11.8
1996,15.3,19.4,37.0,24.3,58.1,113.8,133.5,113.7,206.7,104.1,95.2,2.0
1997,13.6,25.8,28.3,53.5,27.0,23.4,134.1,33.5,99.4,28.4,50.3,18.8
1998,9.1,1.2,50.5,46.1,173.7,42.3,288.5,279.8,75.9,119.3,12.4,14.8
1999,1.3,3.2,35.1,93.1,166.6,55.8,184.9,26.1,97.9,180.3,39.1,5.5
2000,15.5,17.0,16.7,22.1,42.2,159.9,84.7,192.7,130.0,131.0,64.3,25.6
2001,28.1,27.2,6.8,59.9,17.0,89.6,96.6,101.9,106.8,90.1,11.6,37.6
2002,22.4,13.2,41.5,36.8,69.1,118.6,29.1,109.1,102.2,66.6,7.5,29.5
2003,24.8,22.0,28.5,53.0,49.7,43.8,170.0,238.6,259.8,122.2,56.9,14.3
