城市,年,月,月均温,月降水量,季节
兰州,1960,1,-5.5,5.3,冬
兰州,1960,2,1.61,2.1,冬
兰州,1960,3,6.35,14.2,春
兰州,1960,4,10.0,63.3,春
兰州,1960,5,16.13,42.8,春
兰州,1960,6,22.32,37.8,夏
兰州,1960,7,22.33,116.9,夏
兰州,1960,8,21.75,50.7,夏
兰州,1960,9,18.17,76.7,秋
兰州,1960,10,9.15,21.1,秋
兰州,1960,11,1.76,15.8,秋
兰州,1960,12,-4.65,3.9,冬
兰州,1961,1,-6.97,6.7,冬
兰州,1961,2,-3.29,17.6,冬
兰州,1961,3,4.02,30.5,春
兰州,1961,4,12.31,26.8,春
兰州,1961,5,16.95,23.2,春
兰州,1961,6,21.38,83.8,夏
兰州,1961,7,24.03,43.2,夏
兰州,1961,8,21.62,142.4,夏
兰州,1961,9,15.55,115.9,秋
兰州,1961,10,9.67,70.3,秋
兰州,1961,11,1.81,15.8,秋
兰州,1961,12,-3.38,2.5,冬
兰州,1962,1,-4.85,1.5,冬
兰州,1962,2,-0.47,7.8,冬
兰州,1962,3,3.95,7.4,春
兰州,1962,4,10.19,14.6,春
兰州,1962,5,17.58,22.5,春
兰州,1962,6,21.64,22.8,夏
兰州,1962,7,21.77,120.4,夏
兰州,1962,8,22.03,65.4,夏
兰州,1962,9,16.27,86.2,秋
兰州,1962,10,10.61,62.0,秋
兰州,1962,11,-2.44,34.9,秋
兰州,1962,12,-6.08,0.6,冬
兰州,1963,1,-5.67,0.8,冬
兰州,1963,2,-1.16,7.6,冬
兰州,1963,3,6.22,9.3,春
兰州,1963,4,10.24,30.3,春
兰州,1963,5,17.0,76.4,春
兰州,1963,6,20.27,67.3,夏
兰州,1963,7,21.58,116.8,夏
兰州,1963,8,22.02,139.4,夏
兰州,1963,9,17.41,55.6,秋
兰州,1963,10,10.99,29.4,秋
兰州,1963,11,3.31,47.3,秋
兰州,1963,12,-2.67,6.0,冬
兰州,1964,1,-4.27,9.0,冬
兰州,1964,2,-5.34,9.9,冬
兰州,1964,3,6.29,15.4,春
兰州,1964,4,14.51,51.6,春
兰州,1964,5,17.07,62.1,春
兰州,1964,6,19.38,97.8,夏
兰州,1964,7,20.01,225.1,夏
兰州,1964,8,20.62,136.2,夏
兰州,1964,9,15.24,130.0,秋
兰州,1964,10,10.61,61.8,秋
兰州,1964,11,3.31,6.0,秋
兰州,1964,12,-3.0,1.5,冬
兰州,1965,1,-1.92,1.6,冬
兰州,1965,2,-1.12,10.1,冬
兰州,1965,3,4.27,17.4,春
兰州,1965,4,10.99,60.5,春
兰州,1965,5,16.8,37.8,春
兰州,1965,6,20.41,63.2,夏
兰州,1965,7,22.2,95.0,夏
兰州,1965,8,21.39,48.4,夏
兰州,1965,9,17.0,43.3,秋
兰州,1965,10,10.98,73.8,秋
兰州,1965,11,2.81,11.7,秋
兰州,1965,12,-5.25,6.9,冬
兰州,1966,1,-2.98,0.8,冬
兰州,1966,2,0.71,4.6,冬
兰州,1966,3,5.98,11.7,春
兰州,1966,4,10.88,23.2,春
兰州,1966,5,16.04,64.1,春
兰州,1966,6,21.61,15.6,夏
兰州,1966,7,21.52,111.6,夏
兰州,1966,8,20.45,111.8,夏
兰州,1966,9,14.2,151.0,秋
兰州,1966,10,9.36,44.6,秋
兰州,1966,11,-3.15,23.5,秋
兰州,1966,12,-6.72,2.1,冬
兰州,1967,1,-6.76,3.7,冬
兰州,1967,2,-2.61,5.5,冬
兰州,1967,3,3.75,23.0,春
兰州,1967,4,9.24,41.2,春
兰州,1967,5,16.47,85.9,春
兰州,1967,6,19.37,72.9,夏
兰州,1967,7,22.1,82.3,夏
兰州,1967,8,20.68,172.1,夏
兰州,1967,9,14.96,95.1,秋
兰州,1967,10,9.26,38.9,秋
兰州,1967,11,-0.87,21.6,秋
兰州,1967,12,-5.93,3.9,冬
兰州,1968,1,-6.16,10.6,冬
兰州,1968,2,-5.73,7.3,冬
兰州,1968,3,4.7,19.7,春
兰州,1968,4,10.01,10.3,春
兰州,1968,5,16.85,19.7,春
兰州,1968,6,21.37,43.7,夏
兰州,1968,7,21.13,123.9,夏
兰州,1968,8,18.94,127.4,夏
兰州,1968,9,16.39,35.3,秋
兰州,1968,10,8.97,50.5,秋
兰州,1968,11,2.43,12.1,秋
兰州,1968,12,-1.79,3.4,冬
兰州,1969,1,-5.97,3.6,冬
兰州,1969,2,-4.18,5.9,冬
兰州,1969,3,4.11,13.6,春
兰州,1969,4,10.48,20.3,春
兰州,1969,5,18.43,33.2,春
兰州,1969,6,20.05,31.2,夏
兰州,1969,7,22.27,69.5,夏
兰州,1969,8,20.33,95.5,夏
兰州,1969,9,15.97,55.2,秋
兰州,1969,10,11.55,16.1,秋
兰州,1969,11,0.16,11.4,秋
兰州,1969,12,-4.45,3.7,冬
兰州,1970,1,-5.64,6.7,冬
兰州,1970,2,-1.59,15.5,冬
兰州,1970,3,1.07,16.8,春
兰州,1970,4,7.37,64.7,春
兰州,1970,5,16.56,21.5,春
兰州,1970,6,18.8,46.9,夏
兰州,1970,7,23.37,110.1,夏
兰州,1970,8,20.17,152.3,夏
兰州,1970,9,14.93,63.1,秋
兰州,1970,10,8.79,24.0,秋
兰州,1970,11,2.08,1.2,秋
兰州,1970,12,-2.91,2.6,冬
兰州,1971,1,-4.8,3.4,冬
兰州,1971,2,-1.46,2.2,冬
兰州,1971,3,4.28,23.8,春
兰州,1971,4,11.48,21.3,春
兰州,1971,5,15.51,55.9,春
兰州,1971,6,19.91,48.3,夏
兰州,1971,7,23.26,100.0,夏
兰州,1971,8,21.5,86.0,夏
兰州,1971,9,14.57,85.6,秋
兰州,1971,10,9.61,18.1,秋
兰州,1971,11,2.03,22.3,秋
兰州,1971,12,-3.93,1.3,冬
兰州,1972,1,-3.18,1.5,冬
兰州,1972,2,-5.83,11.7,冬
兰州,1972,3,4.62,23.2,春
兰州,1972,4,10.33,24.9,春
兰州,1972,5,16.96,81.1,春
兰州,1972,6,20.61,40.2,夏
兰州,1972,7,22.05,39.2,夏
兰州,1972,8,22.56,72.5,夏
兰州,1972,9,16.34,24.0,秋
兰州,1972,10,10.46,5.1,秋
兰州,1972,11,2.35,6.0,秋
兰州,1972,12,-3.09,2.8,冬
兰州,1973,1,-3.98,7.4,冬
兰州,1973,2,0.14,6.9,冬
兰州,1973,3,5.63,16.6,春
兰州,1973,4,12.91,27.5,春
兰州,1973,5,15.86,64.2,春
兰州,1973,6,20.06,58.0,夏
兰州,1973,7,22.18,91.7,夏
兰州,1973,8,21.73,134.4,夏
兰州,1973,9,16.25,72.4,秋
兰州,1973,10,8.81,47.6,秋
兰州,1973,11,3.36,7.9,秋
兰州,1973,12,-1.92,1.4,冬
兰州,1974,1,-4.55,4.4,冬
兰州,1974,2,-4.32,9.6,冬
兰州,1974,3,1.74,27.1,春
兰州,1974,4,12.55,19.9,春
兰州,1974,5,16.98,43.2,春
兰州,1974,6,20.53,28.3,夏
兰州,1974,7,22.72,126.4,夏
兰州,1974,8,20.92,71.4,夏
兰州,1974,9,15.47,81.5,秋
兰州,1974,10,8.83,63.8,秋
兰州,1974,11,2.94,16.4,秋
兰州,1974,12,-6.18,9.2,冬
兰州,1975,1,-4.75,3.7,冬
兰州,1975,2,-0.56,5.5,冬
兰州,1975,3,5.47,22.3,春
兰州,1975,4,10.59,35.9,春
兰州,1975,5,15.22,60.7,春
兰州,1975,6,20.73,21.0,夏
兰州,1975,7,22.07,88.9,夏
兰州,1975,8,22.88,59.4,夏
兰州,1975,9,17.22,64.5,秋
兰州,1975,10,10.81,70.1,秋
兰州,1975,11,1.52,17.5,秋
兰州,1975,12,-7.34,9.4,冬
兰州,1976,1,-4.57,0.8,冬
兰州,1976,2,-0.27,14.1,冬
兰州,1976,3,2.34,16.6,春
兰州,1976,4,9.91,20.7,春
兰州,1976,5,16.39,51.7,春
兰州,1976,6,19.93,53.1,夏
兰州,1976,7,21.02,95.1,夏
兰州,1976,8,18.21,181.9,夏
兰州,1976,9,15.38,61.9,秋
兰州,1976,10,10.26,18.0,秋
兰州,1976,11,-0.03,4.1,秋
兰州,1976,12,-4.53,1.7,冬
兰州,1977,1,-7.23,14.0,冬
兰州,1977,2,-5.01,8.7,冬
兰州,1977,3,4.33,8.2,春
兰州,1977,4,10.61,27.0,春
兰州,1977,5,15.25,36.2,春
兰州,1977,6,20.29,50.4,夏
兰州,1977,7,22.17,104.8,夏
兰州,1977,8,21.34,70.6,夏
兰州,1977,9,16.98,42.6,秋
兰州,1977,10,10.84,50.8,秋
兰州,1977,11,0.92,33.7,秋
兰州,1977,12,-1.97,4.9,冬
兰州,1978,1,-5.39,6.6,冬
兰州,1978,2,-3.56,12.5,冬
兰州,1978,3,3.96,34.4,春
兰州,1978,4,12.65,9.8,春
兰州,1978,5,18.63,41.4,春
兰州,1978,6,20.94,58.2,夏
兰州,1978,7,21.74,138.6,夏
兰州,1978,8,20.5,133.2,夏
兰州,1978,9,15.42,73.6,秋
兰州,1978,10,9.23,62.8,秋
兰州,1978,11,2.62,17.0,秋
兰州,1978,12,-1.2,2.5,冬
兰州,1979,1,-2.98,4.9,冬
兰州,1979,2,0.51,7.6,冬
兰州,1979,3,2.97,11.7,春
兰州,1979,4,11.23,11.6,春
兰州,1979,5,16.36,21.3,春
兰州,1979,6,21.23,61.9,夏
兰州,1979,7,19.64,215.6,夏
兰州,1979,8,19.38,149.9,夏
兰州,1979,9,15.1,69.0,秋
兰州,1979,10,10.92,26.9,秋
兰州,1979,11,0.95,6.2,秋
兰州,1979,12,-0.9,0.2,冬
兰州,1980,1,-5.4,3.6,冬
兰州,1980,2,-3.9,8.5,冬
兰州,1980,3,3.5,17.7,春
兰州,1980,4,9.77,21.6,春
兰州,1980,5,16.55,31.3,春
兰州,1980,6,19.86,63.9,夏
兰州,1980,7,22.46,65.3,夏
兰州,1980,8,21.97,42.8,夏
兰州,1980,9,17.13,49.2,秋
兰州,1980,10,12.05,25.7,秋
兰州,1980,11,5.61,1.4,秋
兰州,1980,12,-1.77,0.2,冬
兰州,1981,1,-4.3,4.7,冬
兰州,1981,2,-1.2,1.9,冬
兰州,1981,3,6.95,16.7,春
兰州,1981,4,11.86,31.1,春
兰州,1981,5,17.24,9.9,春
兰州,1981,6,21.26,46.7,夏
兰州,1981,7,23.3,96.1,夏
兰州,1981,8,21.37,65.1,夏
兰州,1981,9,16.19,66.5,秋
兰州,1981,10,7.97,12.6,秋
兰州,1981,11,-0.22,12.9,秋
兰州,1981,12,-4.5,5.0,冬
兰州,1982,1,-1.04,1.6,冬
兰州,1982,2,-0.01,3.6,冬
兰州,1982,3,5.5,13.6,春
兰州,1982,4,10.95,16.3,春
兰州,1982,5,16.74,24.2,春
兰州,1982,6,21.16,18.0,夏
兰州,1982,7,24.37,13.7,夏
兰州,1982,8,22.16,33.9,夏
兰州,1982,9,15.44,110.3,秋
兰州,1982,10,11.91,36.3,秋
兰州,1982,11,1.64,12.8,秋
兰州,1982,12,-5.07,0.9,冬
兰州,1983,1,-5.59,5.9,冬
兰州,1983,2,-1.2,1.3,冬
兰州,1983,3,3.02,19.9,春
兰州,1983,4,8.45,65.2,春
兰州,1983,5,16.18,53.2,春
兰州,1983,6,20.13,36.6,夏
兰州,1983,7,21.91,37.4,夏
兰州,1983,8,20.86,101.1,夏
兰州,1983,9,16.77,86.6,秋
兰州,1983,10,10.46,48.7,秋
兰州,1983,11,4.44,5.7,秋
兰州,1983,12,-2.17,1.9,冬
兰州,1984,1,-5.64,2.5,冬
兰州,1984,2,-4.99,12.3,冬
兰州,1984,3,3.31,23.3,春
兰州,1984,4,10.63,33.6,春
兰州,1984,5,16.22,44.4,春
兰州,1984,6,19.88,77.3,夏
兰州,1984,7,21.3,79.6,夏
兰州,1984,8,20.5,129.9,夏
兰州,1984,9,15.37,80.7,秋
兰州,1984,10,9.63,24.6,秋
兰州,1984,11,3.58,0.7,秋
兰州,1984,12,-6.46,5.1,冬
兰州,1985,1,-5.87,1.5,冬
兰州,1985,2,-0.03,0.1,冬
兰州,1985,3,3.17,5.8,春
兰州,1985,4,12.25,32.3,春
兰州,1985,5,16.76,75.7,春
兰州,1985,6,19.41,64.6,夏
兰州,1985,7,21.2,100.5,夏
兰州,1985,8,21.41,111.4,夏
兰州,1985,9,14.62,107.0,秋
兰州,1985,10,9.67,60.8,秋
兰州,1985,11,1.4,5.0,秋
兰州,1985,12,-2.58,1.4,冬
兰州,1986,1,-2.91,0.2,冬
兰州,1986,2,-1.19,6.1,冬
兰州,1986,3,3.25,19.7,春
兰州,1986,4,10.37,16.5,春
兰州,1986,5,17.55,41.7,春
兰州,1986,6,19.08,133.3,夏
兰州,1986,7,21.65,50.6,夏
兰州,1986,8,20.52,96.4,夏
兰州,1986,9,17.35,28.6,秋
兰州,1986,10,10.63,26.6,秋
兰州,1986,11,1.3,8.3,秋
兰州,1986,12,-2.97,7.0,冬
兰州,1987,1,-2.13,0.5,冬
兰州,1987,2,1.31,5.3,冬
兰州,1987,3,5.12,13.1,春
兰州,1987,4,12.01,19.7,春
兰州,1987,5,15.46,57.0,春
兰州,1987,6,19.64,66.9,夏
兰州,1987,7,23.27,52.1,夏
兰州,1987,8,21.85,77.4,夏
兰州,1987,9,17.65,45.0,秋
兰州,1987,10,10.9,30.2,秋
兰州,1987,11,2.9,9.9,秋
兰州,1987,12,-1.99,2.1,冬
兰州,1988,1,-3.57,2.9,冬
兰州,1988,2,-2.55,13.5,冬
兰州,1988,3,1.0,28.4,春
兰州,1988,4,10.81,27.3,春
兰州,1988,5,16.14,86.4,春
兰州,1988,6,20.89,51.0,夏
兰州,1988,7,23.34,83.1,夏
兰州,1988,8,20.64,129.8,夏
兰州,1988,9,16.23,75.1,秋
兰州,1988,10,9.85,40.2,秋
兰州,1988,11,3.9,2.2,秋
兰州,1988,12,-0.53,1.8,冬
